"Date","Price","Open","High","Low","Vol.","Change %"
"04/23/2023","91.06","87.00","93.96","84.53","4.39M","4.67%"
"04/16/2023","87.00","96.66","103.10","84.62","6.21M","-9.99%"
"04/09/2023","96.66","89.91","98.88","89.15","4.68M","7.51%"
"04/02/2023","89.91","92.56","95.77","89.23","3.72M","-2.86%"
"03/26/2023","92.56","91.52","94.79","85.66","4.71M","1.14%"
"03/19/2023","91.52","83.01","95.75","76.88","8.76M","10.25%"
"03/12/2023","83.01","69.21","88.10","67.44","8.71M","19.92%"
"03/05/2023","69.22","89.34","91.73","65.10","7.28M","-22.52%"
"02/26/2023","89.34","93.16","98.27","86.12","3.79M","-4.10%"
"02/19/2023","93.16","99.72","101.47","90.17","4.28M","-6.58%"
"02/12/2023","99.72","94.29","105.25","88.36","4.24M","5.76%"
"02/05/2023","94.29","98.50","102.30","90.01","4.21M","-4.24%"
"01/29/2023","98.47","89.67","102.40","89.01","6.50M","9.81%"
"01/22/2023","89.67","87.87","92.98","85.56","3.50M","1.96%"
"01/15/2023","87.95","87.82","91.49","81.82","5.06M","0.15%"
"01/08/2023","87.82","76.34","90.91","75.28","7.15M","15.04%"
"01/01/2023","76.34","70.08","77.84","69.05","5.21M","8.93%"
"12/25/2022","70.08","65.76","71.03","65.39","4.11M","6.57%"
"12/18/2022","65.76","64.89","66.78","61.09","4.19M","1.34%"
"12/11/2022","64.89","76.36","79.76","62.83","5.94M","-15.03%"
"12/04/2022","76.37","76.47","83.98","74.57","5.87M","-0.13%"
"11/27/2022","76.47","76.46","80.52","70.61","6.93M","0.01%"
"11/20/2022","76.46","63.96","81.91","59.58","12.03M","19.54%"
"11/13/2022","63.96","59.85","64.40","53.61","4.27M","6.87%"
"11/06/2022","59.85","69.29","72.94","48.00","12.24M","-13.75%"
"10/30/2022","69.39","56.62","71.72","54.07","7.58M","22.55%"
"10/23/2022","56.62","52.18","57.56","51.83","2.97M","8.51%"
"10/16/2022","52.18","50.39","52.47","49.70","1.83M","3.55%"
"10/09/2022","50.39","52.79","54.45","48.39","2.49M","-4.55%"
"10/02/2022","52.79","52.91","55.69","51.63","2.43M","-0.25%"
"09/25/2022","52.92","53.43","55.46","51.10","3.17M","-0.95%"
"09/18/2022","53.43","57.82","57.83","50.17","5.29M","-7.59%"
"09/11/2022","57.82","63.28","67.38","54.66","4.81M","-8.63%"
"09/04/2022","63.28","60.14","64.62","53.00","4.47M","5.22%"
"08/28/2022","60.14","52.99","62.19","51.88","4.86M","13.49%"
"08/21/2022","52.99","54.09","58.21","51.83","3.95M","-2.03%"
"08/14/2022","54.09","63.80","65.81","52.67","4.03M","-15.22%"
"08/07/2022","63.80","60.83","65.61","57.75","2.93M","4.92%"
"07/31/2022","60.81","60.44","62.96","56.66","3.18M","0.68%"
"07/24/2022","60.40","56.35","64.55","52.02","3.79M","7.19%"
"07/17/2022","56.35","55.09","61.66","54.47","4.16M","2.29%"
"07/10/2022","55.09","54.07","55.46","46.56","3.91M","1.89%"
"07/03/2022","54.07","50.55","54.68","48.02","3.22M","6.96%"
"06/26/2022","50.55","58.87","60.45","49.87","3.47M","-14.13%"
"06/19/2022","58.87","47.19","59.66","44.99","9.19M","24.75%"
"06/12/2022","47.19","52.10","52.60","40.40","9.93M","-9.42%"
"06/05/2022","52.10","63.70","66.50","51.80","2.81M","-18.34%"
"05/29/2022","63.80","63.00","70.50","61.40","2.94M","1.27%"
"05/22/2022","63.00","69.80","74.00","60.70","4.01M","-9.74%"
"05/15/2022","69.80","68.90","74.40","64.80","4.61M","1.31%"
"05/08/2022","68.90","94.30","95.70","54.90","9.29M","-26.86%"
"05/01/2022","94.20","95.90","107.10","92.90","2.97M","-1.77%"
"04/24/2022","95.90","105.00","105.90","94.00","2.64M","-8.67%"
"04/17/2022","105.00","114.30","115.10","104.90","2.26M","-8.14%"
"04/10/2022","114.30","112.80","114.70","101.90","2.26M","1.33%"
"04/03/2022","112.80","124.70","129.50","109.90","2.67M","-9.54%"
"03/27/2022","124.70","124.90","134.00","119.20","3.58M","-0.16%"
"03/20/2022","124.90","116.90","127.70","111.50","3.14M","6.84%"
"03/13/2022","116.90","105.50","117.10","100.90","306.14M","10.81%"
"03/06/2022","105.50","104.90","109.20","96.40","344.81M","0.57%"
"02/27/2022","104.90","108.20","115.80","99.10","124.75M","-3.05%"
"02/20/2022","108.20","115.60","115.80","91.70","4.61M","-6.40%"
"02/13/2022","115.60","126.70","132.40","113.00","3.16M","-8.76%"
"02/06/2022","126.70","121.80","143.80","120.90","4.42M","4.02%"
"01/30/2022","121.80","110.90","123.80","104.40","3.55M","9.93%"
"01/23/2022","110.80","108.30","116.50","97.90","4.53M","2.31%"
"01/16/2022","108.30","147.70","153.50","96.60","4.61M","-26.68%"
"01/09/2022","147.70","129.40","150.50","121.10","3.38M","14.14%"
"01/02/2022","129.40","150.80","153.20","125.30","3.45M","-14.19%"
"12/26/2021","150.80","157.70","161.10","143.00","3.48M","-4.38%"
"12/19/2021","157.70","148.70","166.70","145.40","3.40M","6.05%"
"12/12/2021","148.70","157.60","162.40","141.50","3.52M","-5.65%"
"12/05/2021","157.60","162.90","169.70","141.50","5.82M","-3.25%"
"11/28/2021","162.90","195.10","218.90","130.30","5.51M","-16.55%"
"11/21/2021","195.20","226.80","230.10","190.40","6.84M","-13.93%"
"11/14/2021","226.80","257.70","281.10","199.80","10.09M","-11.99%"
"11/07/2021","257.70","197.60","295.10","197.10","15.01M","30.41%"
"10/31/2021","197.60","189.51","208.42","187.66","166.80M","4.25%"
"10/24/2021","189.55","196.35","204.81","171.37","327.91M","-3.46%"
"10/17/2021","196.35","185.77","214.46","176.63","489.59M","5.77%"
"10/10/2021","185.64","179.82","192.84","166.56","495.18M","3.24%"
"10/03/2021","179.81","169.05","186.93","161.68","480.41M","6.37%"
