"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2021","148.13","156.99","162.25","144.90","69.48M","-5.64%"
"09/20/2021","156.99","175.60","175.87","153.76","71.68M","-10.58%"
"09/19/2021","175.56","181.34","181.65","172.74","68.85M","-3.18%"
"09/18/2021","181.33","179.79","185.33","178.00","75.85M","0.85%"
"09/17/2021","179.81","185.25","190.29","178.00","83.63M","-2.94%"
"09/16/2021","185.25","189.06","195.13","181.57","93.44M","-1.97%"
"09/15/2021","188.97","183.05","191.76","179.76","75.58M","3.33%"
"09/14/2021","182.89","179.27","188.74","176.20","71.59M","2.02%"
"09/13/2021","179.27","183.24","233.81","170.92","42.90M","-2.17%"
"09/12/2021","183.24","178.53","185.94","175.22","40.61M","2.64%"
"09/11/2021","178.52","174.05","186.14","173.40","43.45M","2.57%"
"09/10/2021","174.04","180.30","187.33","170.92","43.16M","-3.47%"
"09/09/2021","180.30","179.67","188.49","177.10","42.55M","0.41%"
"09/08/2021","179.57","177.95","188.71","169.65","36.93M","0.91%"
"09/07/2021","177.95","219.40","221.83","163.42","41.09M","-18.90%"
"09/06/2021","219.42","231.53","232.27","215.00","54.30M","-5.23%"
"09/05/2021","231.53","212.02","232.17","210.47","52.80M","9.09%"
"09/04/2021","212.24","212.76","224.99","208.76","53.99M","-0.22%"
"09/03/2021","212.70","183.37","217.60","180.04","2.07M","15.91%"
"09/02/2021","183.50","180.84","187.89","179.50","683.37K","1.47%"
"09/01/2021","180.84","171.54","182.70","168.91","37.72M","5.45%"
"08/31/2021","171.49","167.35","175.25","165.74","36.13M","2.49%"
"08/30/2021","167.33","174.35","176.35","166.65","37.78M","-4.00%"
"08/29/2021","174.29","175.48","182.59","173.10","39.23M","-0.67%"
"08/28/2021","175.46","176.13","176.97","171.43","34.06M","-0.37%"
"08/27/2021","176.12","167.61","176.14","165.09","37.99M","5.08%"
"08/26/2021","167.61","177.82","180.13","165.04","40.91M","-5.75%"
"08/25/2021","177.84","173.51","178.87","169.33","46.00M","2.44%"
"08/24/2021","173.60","186.96","188.46","172.74","45.75M","-7.17%"
"08/23/2021","187.01","185.91","191.26","183.69","166.37K","0.58%"
"08/22/2021","185.93","179.70","189.55","178.69","49.53M","3.47%"
"08/21/2021","179.70","183.55","184.34","176.81","46.32M","-2.11%"
"08/20/2021","183.57","175.68","183.98","174.25","44.93M","4.49%"
"08/19/2021","175.68","166.70","175.78","162.75","43.78M","5.34%"
"08/18/2021","166.78","168.78","174.46","163.01","42.33M","-1.18%"
"08/17/2021","168.78","178.02","184.30","168.07","47.45M","-5.21%"
"08/16/2021","178.05","184.62","188.74","176.64","1.81M","-3.62%"
"08/15/2021","184.73","182.79","186.39","175.68","50.00M","1.10%"
"08/14/2021","182.71","183.27","184.95","175.20","944.59K","-0.31%"
"08/13/2021","183.27","165.35","184.41","164.14","45.52M","10.83%"
"08/12/2021","165.36","170.74","179.60","160.99","1.46M","-3.18%"
"08/11/2021","170.79","165.31","176.01","164.27","23.87M","3.30%"
"08/10/2021","165.33","166.40","168.15","158.86","23.59M","-0.67%"
"08/09/2021","166.44","149.67","170.49","145.35","23.85M","11.22%"
"08/08/2021","149.65","155.98","157.50","147.30","22.06M","-4.10%"
"08/07/2021","156.06","147.88","156.30","147.13","1.33M","5.61%"
"08/06/2021","147.77","143.51","150.67","141.77","19.45M","3.08%"
"08/05/2021","143.36","142.56","145.11","136.26","615.05K","0.54%"
"08/04/2021","142.59","138.36","144.45","135.68","18.62M","3.14%"
"08/03/2021","138.25","141.39","143.19","135.87","402.66K","-2.23%"
"08/02/2021","141.41","140.35","145.82","138.94","231.32K","0.75%"
"08/01/2021","140.35","144.09","149.71","138.38","20.14M","-3.00%"
